trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,14,-0.09705448090631608,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,14,-15.895607653308328,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,14,9.817158572513778,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,20,-6.6308150315584635,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",25,0,-54.45793833153916,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,5,0.6297263150818284,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,0,-48.703426293363236,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-61.883591766761135,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",30,0,-68.45524257535037,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,0,-8.4760270669201,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",35,18,-25.159638307418152,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,13,-0.08717013969656273,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,15,-26.193919166416052,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,4,-21.61783302107033,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,10.345426935937809,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,0,-99.42966171649121,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,2,-89.252090410214,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,2,1.6296813644219055,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",30,0,-19.30946836765486,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",35,0,-86.9734766026459,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,0,-40.05502251748517,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,0,-9.966354840512421,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,17,9.35700576409052,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,2,-50.24590043200371,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",20,0,-80.90849386870661,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,11,1.4978294477320766,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",25,12,-10.879505444010379,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,17,4.047410518219513,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,0,-2.5813632174875845,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,14,-34.39270975777945,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,0,-45.223467969361266,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",30,0,35.58389198945026,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,13,-0.4643920155989887,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,6,-65.63558069407978,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
